UF,IBGE,Municipio,CNES,EAS,Peso_Muito_Baixo_Quantidade,Peso_Muito_Baixo_Porcentagem,Peso_Baixo_Quantidade,Peso_Baixo_Porcentagem,Peso_Adequado_Quantidade,Peso_Adequado_Porcentagem,Peso_Elevado_Quantidade,Peso_Elevado_Porcentagem,Total,Local,Ano,Faixa_Etaria,Magreza_Acentuada_Qtd,Magreza_Acentuada_Pct,Magreza_Qtd,Magreza_Pct,Eutrofia_Qtd,Eutrofia_Pct,Sobrepeso_Qtd,Sobrepeso_Pct,Obesidade_Qtd,Obesidade_Pct,Obesidade_Grave_Qtd,Obesidade_Grave_Pct,cnes,lat_ubs,lon_ubs,qtd_esc_publicas,qtd_esc_privadas,qtd_fastfood,qtd_supermercados,qtd_pracas_esporte,acesso_transporte,Faixa_Etaria_Cod,Tendencia_Obesidade,Obesidade_Ano_Anterior,Delta_Obesidade,Status,Delta_Predito
SP,354390,RIO CLARO,2030462,UBS DR MARIO FITTIPALDI,,,,,,,,,14.0,SP,2018,10 a 19 anos,0.0,0.0,0.0,0.0,10.0,71.43,2.0,14.29,2.0,14.29,0.0,0.0,2030462,-22.408,-47.575,5,0,7,8,62,38,0,9.774999999999999,5.26,4.514999999999999,DADO HISTÓRICO,
SP,354390,RIO CLARO,2030462,UBS DR MARIO FITTIPALDI,,,,,,,,,23.0,SP,2019,10 a 19 anos,0.0,0.0,1.0,4.35,13.0,56.52,4.0,17.39,5.0,21.74,0.0,0.0,2030462,-22.408,-47.575,5,0,7,8,62,38,0,13.763333333333334,9.774999999999999,3.988333333333335,DADO HISTÓRICO,
SP,354390,RIO CLARO,2030462,UBS DR MARIO FITTIPALDI,,,,,,,,,47.0,SP,2020,10 a 19 anos,0.0,0.0,2.0,4.26,19.0,40.43,12.0,25.53,9.0,19.15,5.0,10.64,2030462,-22.408,-47.575,5,0,7,8,62,38,0,18.393333333333334,13.763333333333334,4.630000000000001,DADO HISTÓRICO,
SP,354390,RIO CLARO,2030462,UBS DR MARIO FITTIPALDI,,,,,,,,,152.0,SP,2021,10 a 19 anos,2.0,1.32,2.0,1.32,76.0,50.0,31.0,20.39,31.0,20.39,10.0,6.58,2030462,-22.408,-47.575,5,0,7,8,62,38,0,20.426666666666666,18.393333333333334,2.0333333333333314,DADO HISTÓRICO,
SP,354390,RIO CLARO,2030462,UBS DR MARIO FITTIPALDI,,,,,,,,,271.0,SP,2022,10 a 19 anos,1.0,0.37,9.0,3.32,146.0,53.87,50.0,18.45,41.0,15.13,24.0,8.86,2030462,-22.408,-47.575,5,0,7,8,62,38,0,18.223333333333333,20.426666666666666,-2.203333333333333,DADO HISTÓRICO,
SP,354390,RIO CLARO,2030462,UBS DR MARIO FITTIPALDI,,,,,,,,,225.0,SP,2023,10 a 19 anos,1.0,0.44,6.0,2.67,128.0,56.89,53.0,23.56,29.0,12.89,8.0,3.56,2030462,-22.408,-47.575,5,0,7,8,62,38,0,16.136666666666667,18.223333333333333,-2.086666666666666,DADO HISTÓRICO,
SP,354390,RIO CLARO,2030462,UBS DR MARIO FITTIPALDI,,,,,,,,,272.0,SP,2024,10 a 19 anos,0.0,0.0,7.0,2.57,165.0,60.66,61.0,22.43,30.0,11.03,9.0,3.31,2030462,-22.408,-47.575,5,0,7,8,62,38,0,13.016666666666666,16.136666666666667,-3.120000000000001,DADO HISTÓRICO,
SP,354390,RIO CLARO,2030462,UBS DR MARIO FITTIPALDI,,,,,,,,,156.0,SP,2025,10 a 19 anos,1.0,0.64,4.0,2.56,86.0,55.13,29.0,18.59,29.0,18.59,7.0,4.49,2030462,-22.408,-47.575,5,0,7,8,62,38,0,14.17,13.016666666666666,1.1533333333333342,DADO HISTÓRICO,
SP,354390,RIO CLARO,2031922,UBS ORESTES ARMANDO GIOVANNI,,,,,,,,,12.0,SP,2018,10 a 19 anos,0.0,0.0,1.0,8.33,6.0,50.0,5.0,41.67,0.0,0.0,0.0,0.0,2031922,-22.425,-47.555,4,0,4,6,30,44,0,4.165,8.33,-4.165,DADO HISTÓRICO,
SP,354390,RIO CLARO,2031922,UBS ORESTES ARMANDO GIOVANNI,,,,,,,,,19.0,SP,2019,10 a 19 anos,0.0,0.0,2.0,10.53,9.0,47.37,5.0,26.32,3.0,15.79,0.0,0.0,2031922,-22.425,-47.555,4,0,4,6,30,44,0,8.04,4.165,3.874999999999999,DADO HISTÓRICO,
