nome,tipo,lat,lon
Subway,fast_food,-22.3865925,-47.5560987
Bella Capri Pizza e Pasta,restaurant,-22.4189226,-47.5601911
Lanches Val,restaurant,-22.3866271,-47.5568934
Sorveteria Vanilla Ice,restaurant,-22.3889055,-47.5578573
Pizzaria Ypê,restaurant,-22.3868722,-47.55357
Bar e Lanchonete do Rafael,fast_food,-22.4077455,-47.5586846
Jack Brown,restaurant,-22.4092951,-47.5619963
Brooks Hamburgueria,fast_food,-22.4097342,-47.5664329
China in Box,fast_food,-22.4136904,-47.5717099
Cebola Brava Rotisserie,restaurant,-22.4135002,-47.5679233
Seu Bentô,restaurant,-22.4045381,-47.5640158
Padaria e Casa de Carnes Paulista,convenience,-22.395929,-47.5923492
Sem Nome,convenience,-22.3769001,-47.5413795
Restaurant China Express,restaurant,-22.4034166,-47.5649996
Padoka's,restaurant,-22.3716454,-47.5403132
Hermmanito Fast Food,restaurant,-22.4218514,-47.5565867
Entreposto,convenience,-22.4226909,-47.5592579
BR Mania,convenience,-22.4229631,-47.5605285
Barão Burguer,fast_food,-22.4036919,-47.5657272
