UF,IBGE,Municipio,CNES,EAS,Peso_Muito_Baixo_Quantidade,Peso_Muito_Baixo_Porcentagem,Peso_Baixo_Quantidade,Peso_Baixo_Porcentagem,Peso_Adequado_Quantidade,Peso_Adequado_Porcentagem,Peso_Elevado_Quantidade,Peso_Elevado_Porcentagem,Total,Local,Ano,Faixa_Etaria,Magreza_Acentuada_Qtd,Magreza_Acentuada_Pct,Magreza_Qtd,Magreza_Pct,Eutrofia_Qtd,Eutrofia_Pct,Sobrepeso_Qtd,Sobrepeso_Pct,Obesidade_Qtd,Obesidade_Pct,Obesidade_Grave_Qtd,Obesidade_Grave_Pct
SP,354390,RIO CLARO,2055902,UBS PSF CELIA AP CECCATO DA SILVA,0.0,0.0,1.0,9.09,8.0,72.73,2.0,18.18,11.0,SP,2008,0 a 5 anos,,,,,,,,,,,,
SP,354390,RIO CLARO,2074494,UBS DR ANTONIO RAPHAEL MINERVINO SANTOMAURO,0.0,0.0,1.0,2.78,31.0,86.11,4.0,11.11,36.0,SP,2009,0 a 5 anos,,,,,,,,,,,,
SP,354390,RIO CLARO,2030462,UBS DR MARIO FITTIPALDI,0.0,0.0,1.0,2.0,46.0,92.0,3.0,6.0,50.0,SP,2009,0 a 5 anos,,,,,,,,,,,,
SP,354390,RIO CLARO,2071940,UBS DR NICOLINO MAZZIOTTI JARDIM CERVEZAO,0.0,0.0,1.0,1.67,55.0,91.67,4.0,6.67,60.0,SP,2009,0 a 5 anos,,,,,,,,,,,,
SP,354390,RIO CLARO,2060825,UBS DR SILVIO ARNALDO PIVA,1.0,1.49,2.0,2.99,62.0,92.54,2.0,2.99,67.0,SP,2009,0 a 5 anos,,,,,,,,,,,,
SP,354390,RIO CLARO,2031922,UBS ORESTES ARMANDO GIOVANNI,0.0,0.0,1.0,2.17,40.0,86.96,5.0,10.87,46.0,SP,2009,0 a 5 anos,,,,,,,,,,,,
SP,354390,RIO CLARO,2055902,UBS PSF CELIA AP CECCATO DA SILVA,1.0,0.76,2.0,1.52,123.0,93.18,6.0,4.55,132.0,SP,2009,0 a 5 anos,,,,,,,,,,,,
SP,354390,RIO CLARO,2055821,UBS PSF DA ASSISTENCIA,0.0,0.0,0.0,0.0,2.0,100.0,0.0,0.0,2.0,SP,2009,0 a 5 anos,,,,,,,,,,,,
SP,354390,RIO CLARO,2049163,UBS PSF DE AJAPI FARMACEUTICO ANTONIO GILBERTO FONSECA,0.0,0.0,0.0,0.0,11.0,91.67,1.0,8.33,12.0,SP,2009,0 a 5 anos,,,,,,,,,,,,
SP,354390,RIO CLARO,5733022,UBS PSF DR CELESTINO DONATO,0.0,0.0,3.0,4.48,64.0,95.52,0.0,0.0,67.0,SP,2009,0 a 5 anos,,,,,,,,,,,,
SP,354390,RIO CLARO,3347087,UBS PSF DR DIRCEU FERREIRA PENTEADO,0.0,0.0,1.0,0.69,135.0,93.75,8.0,5.56,144.0,SP,2009,0 a 5 anos,,,,,,,,,,,,
SP,354390,RIO CLARO,2033186,UBS PSF DR GILSON GIOVANNI,0.0,0.0,3.0,4.76,52.0,82.54,8.0,12.7,63.0,SP,2009,0 a 5 anos,,,,,,,,,,,,
SP,354390,RIO CLARO,5870755,UBS PSF DR MOACIR DE OLIVEIRA CAMARGO,0.0,0.0,2.0,9.52,16.0,76.19,3.0,14.29,21.0,SP,2009,0 a 5 anos,,,,,,,,,,,,
SP,354390,RIO CLARO,3355519,UBS PSF DR NORBERTO ANTONIO SIMAO CARNEIRO,0.0,0.0,0.0,0.0,7.0,87.5,1.0,12.5,8.0,SP,2009,0 a 5 anos,,,,,,,,,,,,
SP,354390,RIO CLARO,5981921,UBS PSF DR OSWALDO AKAMINE,0.0,0.0,0.0,0.0,19.0,95.0,1.0,5.0,20.0,SP,2009,0 a 5 anos,,,,,,,,,,,,
SP,354390,RIO CLARO,2085097,UBS PSF PQUE MAE PRETA DR EDUARDO REIS,0.0,0.0,1.0,3.13,30.0,93.75,1.0,3.13,32.0,SP,2009,0 a 5 anos,,,,,,,,,,,,
SP,354390,RIO CLARO,2074494,UBS DR ANTONIO RAPHAEL MINERVINO SANTOMAURO,0.0,0.0,0.0,0.0,45.0,93.75,3.0,6.25,48.0,SP,2010,0 a 5 anos,,,,,,,,,,,,
SP,354390,RIO CLARO,2030462,UBS DR MARIO FITTIPALDI,0.0,0.0,0.0,0.0,59.0,92.19,5.0,7.81,64.0,SP,2010,0 a 5 anos,,,,,,,,,,,,
SP,354390,RIO CLARO,2071940,UBS DR NICOLINO MAZZIOTTI JARDIM CERVEZAO,0.0,0.0,2.0,2.44,75.0,91.46,5.0,6.1,82.0,SP,2010,0 a 5 anos,,,,,,,,,,,,
SP,354390,RIO CLARO,2060825,UBS DR SILVIO ARNALDO PIVA,0.0,0.0,2.0,1.94,97.0,94.17,4.0,3.88,103.0,SP,2010,0 a 5 anos,,,,,,,,,,,,
SP,354390,RIO CLARO,2031922,UBS ORESTES ARMANDO GIOVANNI,1.0,1.19,0.0,0.0,72.0,85.71,11.0,13.1,84.0,SP,2010,0 a 5 anos,,,,,,,,,,,,
SP,354390,RIO CLARO,2055902,UBS PSF CELIA AP CECCATO DA SILVA,0.0,0.0,0.0,0.0,157.0,95.15,8.0,4.85,165.0,SP,2010,0 a 5 anos,,,,,,,,,,,,
SP,354390,RIO CLARO,2055821,UBS PSF DA ASSISTENCIA,1.0,16.67,0.0,0.0,5.0,83.33,0.0,0.0,6.0,SP,2010,0 a 5 anos,,,,,,,,,,,,
SP,354390,RIO CLARO,2049163,UBS PSF DE AJAPI FARMACEUTICO ANTONIO GILBERTO FONSECA,0.0,0.0,0.0,0.0,13.0,86.67,2.0,13.33,15.0,SP,2010,0 a 5 anos,,,,,,,,,,,,
SP,354390,RIO CLARO,5733022,UBS PSF DR CELESTINO DONATO,0.0,0.0,5.0,8.2,54.0,88.52,2.0,3.28,61.0,SP,2010,0 a 5 anos,,,,,,,,,,,,
SP,354390,RIO CLARO,3347087,UBS PSF DR DIRCEU FERREIRA PENTEADO,0.0,0.0,1.0,0.68,134.0,90.54,13.0,8.78,148.0,SP,2010,0 a 5 anos,,,,,,,,,,,,
SP,354390,RIO CLARO,2033186,UBS PSF DR GILSON GIOVANNI,0.0,0.0,2.0,2.74,65.0,89.04,6.0,8.22,73.0,SP,2010,0 a 5 anos,,,,,,,,,,,,
SP,354390,RIO CLARO,5870755,UBS PSF DR MOACIR DE OLIVEIRA CAMARGO,0.0,0.0,1.0,2.27,43.0,97.73,0.0,0.0,44.0,SP,2010,0 a 5 anos,,,,,,,,,,,,
SP,354390,RIO CLARO,3355519,UBS PSF DR NORBERTO ANTONIO SIMAO CARNEIRO,0.0,0.0,0.0,0.0,25.0,96.15,1.0,3.85,26.0,SP,2010,0 a 5 anos,,,,,,,,,,,,
SP,354390,RIO CLARO,5981921,UBS PSF DR OSWALDO AKAMINE,1.0,2.78,0.0,0.0,32.0,88.89,3.0,8.33,36.0,SP,2010,0 a 5 anos,,,,,,,,,,,,
SP,354390,RIO CLARO,2085097,UBS PSF PQUE MAE PRETA DR EDUARDO REIS,0.0,0.0,0.0,0.0,35.0,89.74,4.0,10.26,39.0,SP,2010,0 a 5 anos,,,,,,,,,,,,
SP,354390,RIO CLARO,2074494,UBS DR ANTONIO RAPHAEL MINERVINO SANTOMAURO,0.0,0.0,1.0,2.5,36.0,90.0,3.0,7.5,40.0,SP,2011,0 a 5 anos,,,,,,,,,,,,
SP,354390,RIO CLARO,2030462,UBS DR MARIO FITTIPALDI,1.0,1.89,0.0,0.0,41.0,77.36,11.0,20.75,53.0,SP,2011,0 a 5 anos,,,,,,,,,,,,
SP,354390,RIO CLARO,2071940,UBS DR NICOLINO MAZZIOTTI JARDIM CERVEZAO,0.0,0.0,0.0,0.0,56.0,93.33,4.0,6.67,60.0,SP,2011,0 a 5 anos,,,,,,,,,,,,
SP,354390,RIO CLARO,2060825,UBS DR SILVIO ARNALDO PIVA,0.0,0.0,0.0,0.0,70.0,93.33,5.0,6.67,75.0,SP,2011,0 a 5 anos,,,,,,,,,,,,
SP,354390,RIO CLARO,2031922,UBS ORESTES ARMANDO GIOVANNI,0.0,0.0,3.0,4.05,61.0,82.43,10.0,13.51,74.0,SP,2011,0 a 5 anos,,,,,,,,,,,,
SP,354390,RIO CLARO,2055902,UBS PSF CELIA AP CECCATO DA SILVA,1.0,0.67,3.0,2.0,140.0,93.33,6.0,4.0,150.0,SP,2011,0 a 5 anos,,,,,,,,,,,,
SP,354390,RIO CLARO,2055821,UBS PSF DA ASSISTENCIA,0.0,0.0,0.0,0.0,3.0,75.0,1.0,25.0,4.0,SP,2011,0 a 5 anos,,,,,,,,,,,,
SP,354390,RIO CLARO,2049163,UBS PSF DE AJAPI FARMACEUTICO ANTONIO GILBERTO FONSECA,0.0,0.0,0.0,0.0,17.0,85.0,3.0,15.0,20.0,SP,2011,0 a 5 anos,,,,,,,,,,,,
SP,354390,RIO CLARO,5733022,UBS PSF DR CELESTINO DONATO,1.0,2.0,1.0,2.0,45.0,90.0,3.0,6.0,50.0,SP,2011,0 a 5 anos,,,,,,,,,,,,
SP,354390,RIO CLARO,3347087,UBS PSF DR DIRCEU FERREIRA PENTEADO,0.0,0.0,0.0,0.0,105.0,86.78,16.0,13.22,121.0,SP,2011,0 a 5 anos,,,,,,,,,,,,
SP,354390,RIO CLARO,2033186,UBS PSF DR GILSON GIOVANNI,3.0,4.17,0.0,0.0,62.0,86.11,7.0,9.72,72.0,SP,2011,0 a 5 anos,,,,,,,,,,,,
SP,354390,RIO CLARO,5870755,UBS PSF DR MOACIR DE OLIVEIRA CAMARGO,0.0,0.0,3.0,3.13,79.0,82.29,14.0,14.58,96.0,SP,2011,0 a 5 anos,,,,,,,,,,,,
SP,354390,RIO CLARO,3355519,UBS PSF DR NORBERTO ANTONIO SIMAO CARNEIRO,0.0,0.0,0.0,0.0,21.0,95.45,1.0,4.55,22.0,SP,2011,0 a 5 anos,,,,,,,,,,,,
SP,354390,RIO CLARO,5981921,UBS PSF DR OSWALDO AKAMINE,0.0,0.0,1.0,2.86,31.0,88.57,3.0,8.57,35.0,SP,2011,0 a 5 anos,,,,,,,,,,,,
SP,354390,RIO CLARO,2085097,UBS PSF PQUE MAE PRETA DR EDUARDO REIS,3.0,3.49,1.0,1.16,77.0,89.53,5.0,5.81,86.0,SP,2011,0 a 5 anos,,,,,,,,,,,,
SP,354390,RIO CLARO,2074494,UBS DR ANTONIO RAPHAEL MINERVINO SANTOMAURO,0.0,0.0,0.0,0.0,31.0,96.88,1.0,3.13,32.0,SP,2012,0 a 5 anos,,,,,,,,,,,,
SP,354390,RIO CLARO,2030462,UBS DR MARIO FITTIPALDI,2.0,3.33,2.0,3.33,49.0,81.67,7.0,11.67,60.0,SP,2012,0 a 5 anos,,,,,,,,,,,,
SP,354390,RIO CLARO,2071940,UBS DR NICOLINO MAZZIOTTI JARDIM CERVEZAO,0.0,0.0,0.0,0.0,36.0,92.31,3.0,7.69,39.0,SP,2012,0 a 5 anos,,,,,,,,,,,,
SP,354390,RIO CLARO,2060825,UBS DR SILVIO ARNALDO PIVA,0.0,0.0,1.0,1.61,56.0,90.32,5.0,8.06,62.0,SP,2012,0 a 5 anos,,,,,,,,,,,,
SP,354390,RIO CLARO,2031922,UBS ORESTES ARMANDO GIOVANNI,0.0,0.0,2.0,3.92,44.0,86.27,5.0,9.8,51.0,SP,2012,0 a 5 anos,,,,,,,,,,,,
SP,354390,RIO CLARO,2055902,UBS PSF CELIA AP CECCATO DA SILVA,0.0,0.0,1.0,0.7,138.0,96.5,4.0,2.8,143.0,SP,2012,0 a 5 anos,,,,,,,,,,,,
SP,354390,RIO CLARO,2055821,UBS PSF DA ASSISTENCIA,0.0,0.0,0.0,0.0,6.0,100.0,0.0,0.0,6.0,SP,2012,0 a 5 anos,,,,,,,,,,,,
SP,354390,RIO CLARO,2049163,UBS PSF DE AJAPI FARMACEUTICO ANTONIO GILBERTO FONSECA,1.0,2.08,0.0,0.0,43.0,89.58,4.0,8.33,48.0,SP,2012,0 a 5 anos,,,,,,,,,,,,
SP,354390,RIO CLARO,5733022,UBS PSF DR CELESTINO DONATO,0.0,0.0,0.0,0.0,30.0,88.24,4.0,11.76,34.0,SP,2012,0 a 5 anos,,,,,,,,,,,,
SP,354390,RIO CLARO,3347087,UBS PSF DR DIRCEU FERREIRA PENTEADO,2.0,2.13,2.0,2.13,68.0,72.34,22.0,23.4,94.0,SP,2012,0 a 5 anos,,,,,,,,,,,,
SP,354390,RIO CLARO,2033186,UBS PSF DR GILSON GIOVANNI,0.0,0.0,1.0,1.82,47.0,85.45,7.0,12.73,55.0,SP,2012,0 a 5 anos,,,,,,,,,,,,
SP,354390,RIO CLARO,5870755,UBS PSF DR MOACIR DE OLIVEIRA CAMARGO,1.0,0.58,4.0,2.33,153.0,88.95,14.0,8.14,172.0,SP,2012,0 a 5 anos,,,,,,,,,,,,
SP,354390,RIO CLARO,3355519,UBS PSF DR NORBERTO ANTONIO SIMAO CARNEIRO,0.0,0.0,1.0,5.26,18.0,94.74,0.0,0.0,19.0,SP,2012,0 a 5 anos,,,,,,,,,,,,
SP,354390,RIO CLARO,5981921,UBS PSF DR OSWALDO AKAMINE,1.0,4.35,1.0,4.35,19.0,82.61,2.0,8.7,23.0,SP,2012,0 a 5 anos,,,,,,,,,,,,
SP,354390,RIO CLARO,2085097,UBS PSF PQUE MAE PRETA DR EDUARDO REIS,1.0,1.28,2.0,2.56,71.0,91.03,4.0,5.13,78.0,SP,2012,0 a 5 anos,,,,,,,,,,,,
SP,354390,RIO CLARO,2074494,UBS DR ANTONIO RAPHAEL MINERVINO SANTOMAURO,1.0,1.39,0.0,0.0,66.0,91.67,5.0,6.94,72.0,SP,2013,0 a 5 anos,,,,,,,,,,,,
SP,354390,RIO CLARO,2030462,UBS DR MARIO FITTIPALDI,0.0,0.0,3.0,3.75,70.0,87.5,7.0,8.75,80.0,SP,2013,0 a 5 anos,,,,,,,,,,,,
SP,354390,RIO CLARO,2071940,UBS DR NICOLINO MAZZIOTTI JARDIM CERVEZAO,0.0,0.0,1.0,0.61,149.0,91.41,13.0,7.98,163.0,SP,2013,0 a 5 anos,,,,,,,,,,,,
SP,354390,RIO CLARO,2060825,UBS DR SILVIO ARNALDO PIVA,3.0,1.81,2.0,1.2,145.0,87.35,16.0,9.64,166.0,SP,2013,0 a 5 anos,,,,,,,,,,,,
