nome,tipo,lat,lon
Supermercado Furkim,supermarket,-22.3762855,-47.5518907
Supermercado Tetra,supermarket,-22.3870598,-47.5531562
Alvimar Guedes,supermarket,-22.3829758,-47.5642162
Mercearia Rocha,convenience,-22.382125,-47.5649384
Mercado Rocha,convenience,-22.3830578,-47.5650001
Supermercado da Rosa Rio Claro,supermarket,-22.4084055,-47.6021985
Casa&Vida,wholesale,-22.4228324,-47.5663048
Mercado Família,supermarket,-22.387285,-47.6139328
Padaria e Casa de Carnes Paulista,convenience,-22.395929,-47.5923492
Sem Nome,convenience,-22.3769001,-47.5413795
Entreposto,convenience,-22.4226909,-47.5592579
BR Mania,convenience,-22.4229631,-47.5605285
Paulistão Atacadista,wholesale,-22.3847316,-47.5564681
Sem Nome,supermarket,-22.4486801,-47.5411617
Covabra Supermercados,supermarket,-22.3842458,-47.5730971
Assaí Atacadista,supermarket,-22.4149934,-47.5749365
Supermercado Covabra,supermarket,-22.4007914,-47.5683947
Qualidade,supermarket,-22.4067551,-47.5711652
Padaria Claret,bakery,-22.407357,-47.5722133
Supermercado Brasil Frios,supermarket,-22.3920434,-47.5596618
Savegnano Supermercados,supermarket,-22.4237938,-47.5628518
Examine Supermercados,supermarket,-22.4010829,-47.5847635
Supermercado Tropical,supermarket,-22.395533,-47.5836803
Examine Supermercados,supermarket,-22.3874351,-47.5802755
Supermercado Tropical,supermarket,-22.3946047,-47.5733196
Savegnago Supermercados,supermarket,-22.4218774,-47.5658808
Matos Supermercado,supermarket,-22.3755504,-47.57965
Examine Supermercados,supermarket,-22.4357071,-47.5819898
Big Bem Supermercado,supermarket,-22.4199925,-47.5839687
Pães & Doces 5 Estrelas,bakery,-22.4217892,-47.5830643
Supermercado Tropical,supermarket,-22.4296013,-47.5819891
Sem Nome,convenience,-22.3800865,-47.5641052
Sem Nome,convenience,-22.4038284,-47.5657037
Atacadão,supermarket,-22.4180339,-47.5803487
Supermercado Santo Antônio,supermarket,-22.3810621,-47.5874412
Supermercados Savegnago,supermarket,-22.3819109,-47.5477645
Sem Nome,convenience,-22.3749009,-47.5541168
Padaria Village,bakery,-22.3755407,-47.5520178
Supermercado Jóia,supermarket,-22.3693396,-47.5394383
Padaria Vila Alemã,bakery,-22.3893022,-47.5546693
Modelo Padaria,bakery,-22.4227737,-47.558267
